id,id,AgeGroup,Gender,CountryCode,TopGame,Subscription
0,9943,07iZ9e5ob,FoWx,-1616,wcrS;e1xF,1173;-7192
1,-6037,IYNj5Gw,TP5P2ga3,3410,qF,-6048;-4207
2,-7157,Pp12KC,Kihr,-5557,rtU5iUh78;w15GUdUgi;uA3zzC9XA,-7953;-1718
3,3888,x3,2,-7200,W1ASUx;8r8TOn,3045
4,-2774,KD,SGCEKllL,-2869,qSX0Fu,5739;-8718
5,-2893,pneLULzi0,9kz,-9819,mtULC;s0gVP;GyZ4a,8651;3936
6,-8679,vKcV3I,a1o161vf,7200,e;y;X,-5327;-8168
7,1401,ym,NheIOCo,7270,qyq8m;397W2;U6MdC,3086;-7404
8,-4112,zhc,9KacW,-2577,QJeiucCYP,-9628
9,-8599,O,zsjwZ6,-7079,y;d,-756;-7354
10,5284,D4d5Ka,g5N,-6131,zwQ;VCg;k4J,4736;-6691;3741
11,-1463,CKWoW,cU,2831,iua,-959
12,6166,oBX,l748Gv0,-809,Pk0ta6kv8S;OxlhWlATSe;Q1UXsqxlNz,9000;-3727;9056
13,-5632,ORjeTO,b,5758,230;q3G;oUz,5723;-4905
14,-8354,PczpClh,HK,7166,MHTR0k;gFsrmn,-1970;-3652
15,2438,aY,Gcgq,-3133,1SVUMF;wg1fiR;xwRNbz,380
16,5417,4s,D4Ln,-8407,2bhORS4GEz,-662
17,-3096,QAQj8U,sfd6rbtuk,-9821,f;F;Q,2333
18,-5326,TvNtd9cC,9,207,K8d2wTMI1j;koS5Qlx0RC,2502;-3570
19,-9053,HLBpN,ALYJigjfeD,-3094,vrCM2Z;riY8mT,9494;2732
20,9878,E,8smT1x9,4912,jmJRNGtGub,1631
21,9795,hfdgEK,c,7597,d,-4053;-9447;1868
22,6876,vKM,xdXJNf2yH,-699,5dvgH5sqm;6OD2NoHsL;JlUQhqOPE,4707;2069
23,3600,sz,1XK,-2102,PsYrA;tFt5N;ZoMUZ,-9251;4381;3762
24,2176,0hWMUTNv,949Cb,2449,yZRIKJgUZ;ozfDau7TO;S9QgEOAjh,5993
25,32,U7mVq2,WQ1iIu,3001,wikSRSyv;GgsSCuhk;0TzcjOwQ,-6761;8979
26,-8811,WzQnVDe7,em,-6976,B6pXOabr;H9eSztlo,-8967;-7225;5572
27,-6438,zV,OsA9YiTL,2538,5b44s;SnjYB;aXYpL,2652
28,3374,k,lLucJAtrsC,-3600,LjjZZads;kDw2KfsR;78j1vGFS,-2064;7258;8645
29,-984,FHGKrzU8DO,ukRyPCEs,6257,gqyNFx;lfR0cf,2315;-4761
30,485,l2d,rjYJ3K,-5572,xcg8un,-7781
31,3491,G4aeGc,EIwy4itPu,2357,H1t47nYL;9pcVqxpr;9kJlb2Dr,7628
32,6259,DjBVi2JmW4,Mk3NPKbso,-3998,4UTmIwruz;8ccI4Qvzg;BmT6TMB6M,9615;3731;8398
33,-8612,w,n9gyr,951,IOagRY1;VRkyHoE,4889
34,9554,05,ReJPw,4139,LnqLaK;HCBohH,5497;7928;-5213
35,-7584,miUSbx,c87hD,8999,ssr4PAqBll,-3733
36,8098,CH,rr,-740,EW87q8U9,9742
37,8776,Qt4,OW,357,7QJfXHz;xWWRCHP;b0CZy43,7199
38,-9787,RqrAfRNCt,PVKTkufR,-1628,4onv;xbTX;Wid6,-9718;4318;1289
39,5891,d,H3Mip8EEb,-3563,XpUeQpw,-7073;-1697;497
40,-4359,CsfoN,0m,-3394,3gfO;Ai5x,7107
41,7767,VAfTyry,h,2176,oe20,8769;-3139;5594
42,-6505,L8zI,qGKf,3847,wqxnam;D3eD9H;oCvEaa,283
43,7506,YsWqluG,lPgQ,1100,quB0,169;-6189;7221
44,6274,73t0Z,BD09tDxzy,8442,B3Qi;Kuzp;Vj4u,-7734;8976
45,5037,CA2UhD3F,F5n5b0,9148,NLuxwu15D,-5415
46,-1322,9tB,mJ,2730,TFmefrUv2;YW0y4nQZW;3LwE1Oz0b,9618
47,7498,P,Mdu,570,mmJ8sJ4;tkrBSHw,-4622;-8559
48,-1637,TiovrXn6dF,0,5324,5PobNLbbLl;hBdG1oognW,1690
49,-1508,7pEL,jvyiZdPX,9956,2,-519;-3016;8745
50,-208,t,r5S6f,-4523,Jxjd,-7144;-8117
51,7403,dnmz8w,nS3WIOlhu,4140,y;f;Y,3375;-3480
52,5489,tT5K,9tydF2,-3563,vHSFfqELax;l2N82bDkL3;OBsvICaqCQ,-9691
53,7461,QPfX,rev33qsRh,206,7X;Lw;Qa,-2900;-1954;9168
54,9541,YHl1TpqVe,EGg4vRGHB,-64,ftBgOH3x8M,3987
55,6737,i,jqK3wT4c,6524,Eu4Bow3C;vRbhKSpz,-5459;1919;-5211
56,-7371,tQQBRXd,ApB,2314,iKNWvxgbE;KE0qkqUbA,2093;6451;7589
57,-3580,5I3rw7WA,ecQME0EiR1,9949,3i;xV;cv,1757;-4717
58,-3894,Tf5,H84qYRKsN7,-3824,t,3449;-1025;4086
59,3632,BCc9,8MIUEe,-6466,Jjx;OEC,-1446;-8011;-7699
60,-2531,VOjBGGB,5aeisx,-3199,J;R,932
61,-6367,RMErA,owVT3i,7418,QkNGvTO4u,5017;-1447
62,-7493,9,TQ3,6780,XVA,-1413;-3265;9838
63,-2395,QwOa64pmS7,tpg,6744,9bo6s5yrM,-1600;-4760;8216
64,-9554,AboGXmc,7,-6248,fA2j805e,-5931;7926
65,7461,gt7PY,m,-4487,YnMu0f0Sv,-6006;-999
66,-7678,PFKGAff,ODO,1019,SYsqL;HfRAY;qcn67,-8413
67,-3942,8ChFY,GWv3eBa4,-2901,Y4Uql,929;6328;-325
68,1799,g63x8m,zXf,-6324,NXD6oDGgp;48jrEk5dz,-4325;-1631;51
69,1054,VHR,GgW40Ym,3150,5;L;d,-7900;-2222;759
70,-3215,kx,FHC,-730,y2mvCFW;IBGYzrC,-6873
71,-9445,0Yhgx6L,xyMNqELV6,5200,U;j;L,6659;7920;9454
72,9970,h4Y4q07Y,dQnGVuhlh,-152,UBIN10s2h,7693;5420;-3405
73,5931,1j6V,HwtXoTSwrn,4207,e,873
74,4628,5Zb,M,8032,VAbmRU;XOXV2v,8114;-2647;-1851
75,-7114,XFtbhAvs,6qKrQNQ0T,-2363,o6;Ue,-4307
76,8147,xVG9LSnD,ylY9tr,-8324,bcAGLzp,-155;-369;-5966
77,2857,ZM0jfgda,0Xu52fhm,2871,gkAun;gHuux;D0llh,8741;6096
78,8760,PVmWvho,yXbJrCbo,-4606,XI;DY;uG,-6524
79,-7514,qU3Vu3s7O,WoZeY,1699,bjO9eC3W8;EVvTlhvWD,8492;6911;617
80,6810,gJ0bFoycj,49lfXi,-6081,lRk5DGS78;0TyJUrRVk;O1mN5NpRL,2527;-3308
81,7062,vbGtGcw3,va,-6706,bWY;pKq;gPA,-8384;-8329;2382
82,-5510,aztFT6,FCvpX5wnD,1040,TQWgXXJ9;pFKkhDje,5066;8467;9436
83,1951,0StK,QKbpRJm,7845,N5sYWBGpJa;pEb2FjtkSB,6921;8551
84,3209,Io,C9nTOjlyrG,-5270,LvzNgGW;70TCthW;2yE5PcE,-3996;-8153
85,822,EDA8ekq,ZQZZV4,4278,oCug,-2577;-4103
86,8235,xCzdgWuK0,d,6603,5DnIgK;eoYLqT;jAm5D7,-6545;-7471;5566
87,-9211,XS9YFB,R2cWOjVNmO,7199,0,-1261
